INSERT INTO log_pefindo (pefindo_ID,FullName,dob,NO_KTP,timeinput,Value,status)
VALUES
    ('100441', 'Data test 7', '1991-01-07', '3672086105750006', 'getdate()', '0', '1'),
    ('100465', 'Data test 37', '1991-02-06', '3672086105750037', 'getdate()', '699', '1'),
    ('100466', 'Data test 38', '1991-02-07', '3672086105750038', 'getdate()', '700', '1'),
    ('100467', 'Data test 39', '1991-02-08', '3672086105750039', 'getdate()', '800', '1'),
    ('100468', 'Data test 40', '1991-02-09', '3672086105750040', 'getdate()', '998', '1'),
    ('100469', 'Data test 41', '1991-02-10', '3672086105750041', 'getdate()', '200', '1'),
    ('100470', 'Data test 42', '1991-02-11', '3672086105750042', 'getdate()', '600', '1'),
    ('100471', 'Data test 43', '1991-02-12', '3672086105750043', 'getdate()', '800', '1'),
    ('100472', 'Data test 44', '1991-02-13', '3672086105750044', 'getdate()', '300', '1'),
    ('100473', 'Data test 45', '1991-02-14', '3672086105750045', 'getdate()', '550', '1'),
    ('100474', 'Data test 46', '1991-02-15', '3672086105750046', 'getdate()', '750', '1'),
    ('100475', 'Data test 47', '1991-02-16', '3672086105750047', 'getdate()', '300', '1'),
    ('100476', 'Data test 48', '1991-02-17', '3672086105750048', 'getdate()', '550', '1'),
    ('100477', 'Data test 49', '1991-02-18', '3672086105750049', 'getdate()', '300', '1'),
    ('100478', 'Data test 50', '1991-02-19', '3672086105750050', 'getdate()', '550', '1'),
    ('100479', 'Data test 57', '1991-02-26', '3672086105750057', 'getdate()', '0', '1'),
    ('100480', 'Data test 58', '1991-02-27', '3672086105750058', 'getdate()', '300', '1'),
    ('100481', 'Data test 59', '1991-02-28', '3672086105750059', 'getdate()', '499', '1'),
    ('100482', 'Data test 60', '1991-03-01', '3672086105750060', 'getdate()', '500', '1'),
    ('100483', 'Data test 61', '1991-03-02', '3672086105750061', 'getdate()', '600', '1'),
    ('100484', 'Data test 62', '1991-03-03', '3672086105750062', 'getdate()', '699', '1'),
    ('100485', 'Data test 63', '1991-03-04', '3672086105750063', 'getdate()', '700', '1'),
    ('100486', 'Data test 64', '1991-03-05', '3672086105750064', 'getdate()', '800', '1'),
    ('100487', 'Data test 65', '1991-03-06', '3672086105750065', 'getdate()', '998', '1'),
    ('100488', 'Data test 66', '1991-03-07', '3672086105750066', 'getdate()', '200', '1'),
    ('100489', 'Data test 67', '1991-03-08', '3672086105750067', 'getdate()', '600', '1'),
    ('100490', 'Data test 68', '1991-03-09', '3672086105750068', 'getdate()', '800', '1'),
    ('100491', 'Data test 69', '1991-03-10', '3672086105750069', 'getdate()', '300', '1'),
    ('100492', 'Data test 70', '1991-03-11', '3672086105750070', 'getdate()', '550', '1'),
    ('100493', 'Data test 71', '1991-03-12', '3672086105750071', 'getdate()', '750', '1'),
    ('100494', 'Data test 72', '1991-03-13', '3672086105750072', 'getdate()', '300', '1'),
    ('100495', 'Data test 73', '1991-03-14', '3672086105750073', 'getdate()', '550', '1'),
    ('100496', 'Data test 74', '1991-03-15', '3672086105750074', 'getdate()', '300', '1'),
    ('100497', 'Data test 75', '1991-03-16', '3672086105750075', 'getdate()', '550', '1'),
    ('100498', 'Data test 82', '1991-03-23', '3672086105750082', 'getdate()', '0', '1'),
    ('100499', 'Data test 83', '1991-03-24', '3672086105750083', 'getdate()', '300', '1'),
    ('100500', 'Data test 84', '1991-03-25', '3672086105750084', 'getdate()', '499', '1'),
    ('100501', 'Data test 85', '1991-03-26', '3672086105750085', 'getdate()', '500', '1'),
    ('100502', 'Data test 86', '1991-03-27', '3672086105750086', 'getdate()', '600', '1'),
    ('100503', 'Data test 87', '1991-03-28', '3672086105750087', 'getdate()', '699', '1'),
    ('100504', 'Data test 88', '1991-03-29', '3672086105750088', 'getdate()', '700', '1'),
    ('100505', 'Data test 89', '1991-03-30', '3672086105750089', 'getdate()', '800', '1'),
    ('100506', 'Data test 90', '1991-03-31', '3672086105750090', 'getdate()', '998', '1'),
    ('100507', 'Data test 91', '1991-04-01', '3672086105750091', 'getdate()', '200', '1'),
    ('100508', 'Data test 92', '1991-04-02', '3672086105750092', 'getdate()', '600', '1'),
    ('100509', 'Data test 93', '1991-04-03', '3672086105750093', 'getdate()', '800', '1'),
    ('100510', 'Data test 94', '1991-04-04', '3672086105750094', 'getdate()', '300', '1'),
    ('100511', 'Data test 95', '1991-04-05', '3672086105750095', 'getdate()', '550', '1'),
    ('100512', 'Data test 96', '1991-04-06', '3672086105750096', 'getdate()', '750', '1'),
    ('100513', 'Data test 97', '1991-04-07', '3672086105750097', 'getdate()', '300', '1'),
    ('100514', 'Data test 98', '1991-04-08', '3672086105750098', 'getdate()', '550', '1'),
    ('100515', 'Data test 99', '1991-04-09', '3672086105750099', 'getdate()', '300', '1'),
    ('100516', 'Data test 100', '1991-04-10', '3672086105750100', 'getdate()', '550', '1'),
    ('100517', 'Data test 107', '1991-04-17', '3672086105750107', 'getdate()', '0', '1'),
    ('100518', 'Data test 108', '1991-04-18', '3672086105750108', 'getdate()', '300', '1'),
    ('100519', 'Data test 109', '1991-04-19', '3672086105750109', 'getdate()', '499', '1'),
    ('100520', 'Data test 110', '1991-04-20', '3672086105750110', 'getdate()', '500', '1'),
    ('100521', 'Data test 111', '1991-04-21', '3672086105750111', 'getdate()', '600', '1'),
    ('100522', 'Data test 112', '1991-04-22', '3672086105750112', 'getdate()', '699', '1'),
    ('100523', 'Data test 113', '1991-04-23', '3672086105750113', 'getdate()', '700', '1'),
    ('100524', 'Data test 114', '1991-04-24', '3672086105750114', 'getdate()', '800', '1'),
    ('100525', 'Data test 115', '1991-04-25', '3672086105750115', 'getdate()', '998', '1'),
    ('100526', 'Data test 116', '1991-04-26', '3672086105750116', 'getdate()', '200', '1'),
    ('100527', 'Data test 117', '1991-04-27', '3672086105750117', 'getdate()', '600', '1'),
    ('100528', 'Data test 118', '1991-04-28', '3672086105750118', 'getdate()', '800', '1'),
    ('100529', 'Data test 119', '1991-04-29', '3672086105750119', 'getdate()', '300', '1'),
    ('100530', 'Data test 120', '1991-04-30', '3672086105750120', 'getdate()', '550', '1'),
    ('100531', 'Data test 121', '1991-05-01', '3672086105750121', 'getdate()', '750', '1'),
    ('100532', 'Data test 122', '1991-05-02', '3672086105750122', 'getdate()', '300', '1'),
    ('100533', 'Data test 123', '1991-05-03', '3672086105750123', 'getdate()', '550', '1'),
    ('100534', 'Data test 124', '1991-05-04', '3672086105750124', 'getdate()', '300', '1'),
    ('100535', 'Data test 125', '1991-05-05', '3672086105750125', 'getdate()', '550', '1'),
    ('100536', 'Data test 132', '1991-05-12', '3672086105750142', 'getdate()', '0', '1'),
    ('100537', 'Data test 133', '1991-05-13', '3672086105750143', 'getdate()', '300', '1'),
    ('100538', 'Data test 134', '1991-05-14', '3672086105750144', 'getdate()', '499', '1'),
    ('100539', 'Data test 135', '1991-05-15', '3672086105750145', 'getdate()', '500', '1'),
    ('100540', 'Data test 136', '1991-05-16', '3672086105750146', 'getdate()', '600', '1'),
    ('100541', 'Data test 137', '1991-05-17', '3672086105750147', 'getdate()', '699', '1'),
    ('100542', 'Data test 138', '1991-05-18', '3672086105750148', 'getdate()', '700', '1'),
    ('100543', 'Data test 139', '1991-05-19', '3672086105750149', 'getdate()', '800', '1'),
    ('100544', 'Data test 140', '1991-05-20', '3672086105750140', 'getdate()', '998', '1'),
    ('100545', 'Data test 141', '1991-05-21', '3672086105750141', 'getdate()', '200', '1'),
    ('100546', 'Data test 142', '1991-05-22', '3672086105750142', 'getdate()', '600', '1'),
    ('100547', 'Data test 143', '1991-05-23', '3672086105750143', 'getdate()', '800', '1'),
    ('100548', 'Data test 144', '1991-05-24', '3672086105750144', 'getdate()', '300', '1'),
    ('100549', 'Data test 145', '1991-05-25', '3672086105750145', 'getdate()', '550', '1'),
    ('100550', 'Data test 146', '1991-05-26', '3672086105750146', 'getdate()', '750', '1'),
    ('100551', 'Data test 147', '1991-05-27', '3672086105750147', 'getdate()', '300', '1'),
    ('100552', 'Data test 148', '1991-05-28', '3672086105750148', 'getdate()', '550', '1'),
    ('100553', 'Data test 149', '1991-05-29', '3672086105750149', 'getdate()', '300', '1'),
    ('100554', 'Data test 150', '1991-05-30', '3672086105750140', 'getdate()', '550', '1'),
    ('100555', 'Data test 157', '1991-06-06', '3672086105750156', 'getdate()', '0', '1'),
    ('100556', 'Data test 158', '1991-06-07', '3672086105750157', 'getdate()', '300', '1'),
    ('100557', 'Data test 159', '1991-06-08', '3672086105750158', 'getdate()', '499', '1'),
    ('100558', 'Data test 160', '1991-06-09', '3672086105750159', 'getdate()', '500', '1'),
    ('100559', 'Data test 161', '1991-06-10', '3672086105750160', 'getdate()', '600', '1'),
    ('100560', 'Data test 162', '1991-06-11', '3672086105750161', 'getdate()', '699', '1'),
    ('100561', 'Data test 163', '1991-06-12', '3672086105750162', 'getdate()', '700', '1'),
    ('100562', 'Data test 164', '1991-06-13', '3672086105750163', 'getdate()', '800', '1'),
    ('100563', 'Data test 165', '1991-06-14', '3672086105750164', 'getdate()', '998', '1'),
    ('100564', 'Data test 166', '1991-06-15', '3672086105750165', 'getdate()', '200', '1'),
    ('100565', 'Data test 167', '1991-06-16', '3672086105750166', 'getdate()', '600', '1'),
    ('100566', 'Data test 168', '1991-06-17', '3672086105750167', 'getdate()', '800', '1'),
    ('100567', 'Data test 169', '1991-06-18', '3672086105750168', 'getdate()', '300', '1'),
    ('100568', 'Data test 170', '1991-06-19', '3672086105750169', 'getdate()', '550', '1'),
    ('100569', 'Data test 171', '1991-06-20', '3672086105750170', 'getdate()', '750', '1'),
    ('100570', 'Data test 172', '1991-06-21', '3672086105750171', 'getdate()', '300', '1'),
    ('100571', 'Data test 173', '1991-06-22', '3672086105750172', 'getdate()', '550', '1'),
    ('100572', 'Data test 174', '1991-06-23', '3672086105750173', 'getdate()', '300', '1'),
    ('100573', 'Data test 175', '1991-06-24', '3672086105750174', 'getdate()', '550', '1'),
    ('100574', 'Data test 182', '1991-07-01', '3672086105750181', 'getdate()', '0', '1'),
    ('100575', 'Data test 183', '1991-07-02', '3672086105750182', 'getdate()', '300', '1'),
    ('100576', 'Data test 184', '1991-07-03', '3672086105750183', 'getdate()', '499', '1'),
    ('100577', 'Data test 185', '1991-07-04', '3672086105750184', 'getdate()', '500', '1'),
    ('100578', 'Data test 186', '1991-07-05', '3672086105750185', 'getdate()', '600', '1'),
    ('100579', 'Data test 187', '1991-07-06', '3672086105750186', 'getdate()', '699', '1'),
    ('100580', 'Data test 188', '1991-07-07', '3672086105750187', 'getdate()', '700', '1'),
    ('100581', 'Data test 189', '1991-07-08', '3672086105750188', 'getdate()', '800', '1'),
    ('100582', 'Data test 190', '1991-07-09', '3672086105750189', 'getdate()', '998', '1'),
    ('100583', 'Data test 191', '1991-07-10', '3672086105750190', 'getdate()', '200', '1'),
    ('100584', 'Data test 192', '1991-07-11', '3672086105750191', 'getdate()', '600', '1'),
    ('100585', 'Data test 193', '1991-07-12', '3672086105750192', 'getdate()', '800', '1'),
    ('100586', 'Data test 194', '1991-07-13', '3672086105750193', 'getdate()', '300', '1'),
    ('100587', 'Data test 195', '1991-07-14', '3672086105750194', 'getdate()', '550', '1'),
    ('100588', 'Data test 196', '1991-07-15', '3672086105750195', 'getdate()', '750', '1'),
    ('100589', 'Data test 197', '1991-07-16', '3672086105750196', 'getdate()', '300', '1'),
    ('100590', 'Data test 198', '1991-07-17', '3672086105750197', 'getdate()', '550', '1'),
    ('100591', 'Data test 199', '1991-07-18', '3672086105750198', 'getdate()', '300', '1'),
    ('100592', 'Data test 200', '1991-07-19', '3672086105750199', 'getdate()', '550', '1'),
    ('100593', 'Data test 207', '1991-07-26', '3672086105750206', 'getdate()', '0', '1'),
    ('100594', 'Data test 208', '1991-07-27', '3672086105750207', 'getdate()', '300', '1'),
    ('100595', 'Data test 209', '1991-07-28', '3672086105750208', 'getdate()', '499', '1'),
    ('100596', 'Data test 210', '1991-07-29', '3672086105750209', 'getdate()', '500', '1'),
    ('100597', 'Data test 211', '1991-07-30', '3672086105750210', 'getdate()', '600', '1'),
    ('100598', 'Data test 212', '1991-07-31', '3672086105750211', 'getdate()', '699', '1'),
    ('100599', 'Data test 213', '1991-08-01', '3672086105750212', 'getdate()', '700', '1'),
    ('100600', 'Data test 214', '1991-08-02', '3672086105750213', 'getdate()', '800', '1'),
    ('100601', 'Data test 215', '1991-08-03', '3672086105750214', 'getdate()', '998', '1'),
    ('100602', 'Data test 216', '1991-08-04', '3672086105750215', 'getdate()', '200', '1'),
    ('100603', 'Data test 217', '1991-08-05', '3672086105750216', 'getdate()', '600', '1'),
    ('100604', 'Data test 218', '1991-08-06', '3672086105750217', 'getdate()', '800', '1'),
    ('100605', 'Data test 219', '1991-08-07', '3672086105750218', 'getdate()', '300', '1'),
    ('100606', 'Data test 220', '1991-08-08', '3672086105750219', 'getdate()', '550', '1'),
    ('100607', 'Data test 221', '1991-08-09', '3672086105750220', 'getdate()', '750', '1'),
    ('100608', 'Data test 222', '1991-08-10', '3672086105750221', 'getdate()', '300', '1'),
    ('100609', 'Data test 223', '1991-08-11', '3672086105750222', 'getdate()', '550', '1'),
    ('100610', 'Data test 224', '1991-08-12', '3672086105750223', 'getdate()', '300', '1'),
    ('100611', 'Data test 225', '1991-08-13', '3672086105750224', 'getdate()', '550', '1'),
    ('100612', 'Data test 232', '1991-08-20', '3672086105750231', 'getdate()', '200', '1'),
    ('100613', 'Data test 233', '1991-08-21', '3672086105750232', 'getdate()', '600', '1'),
    ('100614', 'Data test 234', '1991-08-22', '3672086105750233', 'getdate()', '800', '1'),
    ('100615', 'Data test 235', '1991-08-23', '3672086105750234', 'getdate()', '800', '1'),
    ('100616', 'Data test 236', '1991-08-24', '3672086105750235', 'getdate()', '650', '1'),
    ('100617', 'Data test 237', '1991-08-25', '3672086105750236', 'getdate()', '200', '1'),
    ('100618', 'Data test 238', '1991-08-26', '3672086105750237', 'getdate()', '100', '1'),
    ('100619', 'Data test 239', '1991-08-27', '3672086105750238', 'getdate()', '700', '1'),
    ('100620', 'Data test 240', '1991-08-28', '3672086105750239', 'getdate()', '500', '1'),
    ('100621', 'Data test 247', '1991-09-04', '3672086105750246', 'getdate()', '200', '1'),
    ('100622', 'Data test 248', '1991-09-05', '3672086105750247', 'getdate()', '600', '1'),
    ('100623', 'Data test 249', '1991-09-06', '3672086105750248', 'getdate()', '800', '1'),
    ('100624', 'Data test 250', '1991-09-07', '3672086105750249', 'getdate()', '800', '1'),
    ('100625', 'Data test 251', '1991-09-08', '3672086105750250', 'getdate()', '650', '1'),
    ('100626', 'Data test 252', '1991-09-09', '3672086105750251', 'getdate()', '200', '1'),
    ('100627', 'Data test 253', '1991-09-10', '3672086105750252', 'getdate()', '100', '1'),
    ('100628', 'Data test 254', '1991-09-11', '3672086105750253', 'getdate()', '700', '1'),
    ('100629', 'Data test 255', '1991-09-12', '3672086105750254', 'getdate()', '500', '1'),
    ('100630', 'Data test 262', '1991-09-19', '3672086105750261', 'getdate()', '200', '1'),
    ('100631', 'Data test 263', '1991-09-20', '3672086105750262', 'getdate()', '600', '1'),
    ('100632', 'Data test 264', '1991-09-21', '3672086105750263', 'getdate()', '800', '1'),
    ('100633', 'Data test 265', '1991-09-22', '3672086105750264', 'getdate()', '800', '1'),
    ('100634', 'Data test 266', '1991-09-23', '3672086105750265', 'getdate()', '650', '1'),
    ('100635', 'Data test 267', '1991-09-24', '3672086105750266', 'getdate()', '200', '1'),
    ('100636', 'Data test 268', '1991-09-25', '3672086105750267', 'getdate()', '100', '1'),
    ('100637', 'Data test 269', '1991-09-26', '3672086105750268', 'getdate()', '700', '1'),
    ('100638', 'Data test 270', '1991-09-27', '3672086105750269', 'getdate()', '500', '1'),
    ('100639', 'Data test 277', '1991-10-04', '3672086105750276', 'getdate()', '200', '1'),
    ('100640', 'Data test 278', '1991-10-05', '3672086105750277', 'getdate()', '600', '1'),
    ('100641', 'Data test 279', '1991-10-06', '3672086105750278', 'getdate()', '800', '1'),
    ('100642', 'Data test 280', '1991-10-07', '3672086105750279', 'getdate()', '800', '1'),
    ('100643', 'Data test 281', '1991-10-08', '3672086105750280', 'getdate()', '650', '1'),
    ('100644', 'Data test 282', '1991-10-09', '3672086105750281', 'getdate()', '200', '1'),
    ('100645', 'Data test 283', '1991-10-10', '3672086105750282', 'getdate()', '100', '1'),
    ('100646', 'Data test 284', '1991-10-11', '3672086105750283', 'getdate()', '700', '1'),
    ('100647', 'Data test 285', '1991-10-12', '3672086105750284', 'getdate()', '500', '1'),
    ('100648', 'Data test 292', '1991-10-19', '3672086105750291', 'getdate()', '200', '1'),
    ('100649', 'Data test 293', '1991-10-20', '3672086105750292', 'getdate()', '600', '1'),
    ('100650', 'Data test 294', '1991-10-21', '3672086105750293', 'getdate()', '800', '1'),
    ('100651', 'Data test 295', '1991-10-22', '3672086105750294', 'getdate()', '800', '1'),
    ('100652', 'Data test 296', '1991-10-23', '3672086105750295', 'getdate()', '650', '1'),
    ('100653', 'Data test 297', '1991-10-24', '3672086105750296', 'getdate()', '200', '1'),
    ('100654', 'Data test 298', '1991-10-25', '3672086105750297', 'getdate()', '100', '1'),
    ('100655', 'Data test 299', '1991-10-26', '3672086105750298', 'getdate()', '700', '1'),
    ('100656', 'Data test 300', '1991-10-27', '3672086105750299', 'getdate()', '500', '1'),
    ('100657', 'Data test 307', '1991-11-03', '3672086105750306', 'getdate()', '200', '1'),
    ('100658', 'Data test 308', '1991-11-04', '3672086105750307', 'getdate()', '600', '1'),
    ('100659', 'Data test 309', '1991-11-05', '3672086105750308', 'getdate()', '800', '1'),
    ('100660', 'Data test 310', '1991-11-06', '3672086105750309', 'getdate()', '800', '1'),
    ('100661', 'Data test 311', '1991-11-07', '3672086105750310', 'getdate()', '650', '1'),
    ('100662', 'Data test 312', '1991-11-08', '3672086105750311', 'getdate()', '200', '1'),
    ('100663', 'Data test 313', '1991-11-09', '3672086105750312', 'getdate()', '100', '1'),
    ('100664', 'Data test 314', '1991-11-10', '3672086105750313', 'getdate()', '700', '1'),
    ('100665', 'Data test 315', '1991-11-11', '3672086105750314', 'getdate()', '500', '1'),
    ('100666', 'Data test 322', '1991-11-18', '3672086105750321', 'getdate()', '200', '1'),
    ('100667', 'Data test 323', '1991-11-19', '3672086105750322', 'getdate()', '600', '1'),
    ('100668', 'Data test 324', '1991-11-20', '3672086105750323', 'getdate()', '800', '1'),
    ('100669', 'Data test 325', '1991-11-21', '3672086105750324', 'getdate()', '800', '1'),
    ('100670', 'Data test 326', '1991-11-22', '3672086105750325', 'getdate()', '650', '1'),
    ('100671', 'Data test 327', '1991-11-23', '3672086105750326', 'getdate()', '200', '1'),
    ('100672', 'Data test 328', '1991-11-24', '3672086105750327', 'getdate()', '100', '1'),
    ('100673', 'Data test 329', '1991-11-25', '3672086105750328', 'getdate()', '700', '1'),
    ('100674', 'Data test 330', '1991-11-26', '3672086105750329', 'getdate()', '500', '1');
